"","region","year","bgt","jolts","per_diff"
"1","Midwest",2010,2338088,7176000,101.699963254492
"2","Midwest",2011,3077476,8961000,97.7453292260582
"3","Midwest",2012,2999686,10177000,108.939592246487
"4","Midwest",2013,4113172,10758000,89.3652228620582
"5","Midwest",2014,4574148,12614000,93.5511144074394
"6","Midwest",2015,4569421,14904000,106.140354075434
"7","Midwest",2016,5417836,15490000,96.3482208297406
"8","Midwest",2017,5071706,17038000,108.244713882672
"9","Midwest",2018,6185054,20189000,106.194868638701
"10","Midwest",2019,6941118,19461000,94.839982155977
"11","Northeast",2010,2459262,7164000,97.7784456039958
"12","Northeast",2011,2679012,7543000,95.1669397374998
"13","Northeast",2012,2650406,8368000,103.782597954731
"14","Northeast",2013,3294967,8559000,88.8147065028948
"15","Northeast",2014,3337023,9713000,97.7159503856813
"16","Northeast",2015,3626315,11261000,102.566312326971
"17","Northeast",2016,4121506,11911000,97.1712594400401
"18","Northeast",2017,4131044,12964000,103.339377190255
"19","Northeast",2018,4683891,14445000,102.056193430137
"20","Northeast",2019,5306150,14345000,91.9930894629576
"21","South",2010,3898943,12708000,106.088844888551
"22","South",2011,4759851,15227000,104.740351544123
"23","South",2012,4636001,17815000,117.402328742491
"24","South",2013,6152162,18461000,100.018339780968
"25","South",2014,6448430,21729000,108.459643054743
"26","South",2015,7043492,25449000,113.290836541562
"27","South",2016,7992298,26391000,107.021158935946
"28","South",2017,7431347,26568000,112.570709078618
"29","South",2018,9983535,31143000,102.899332511236
"30","South",2019,11830095,32143000,92.3878794521969
"31","West",2010,2985880,8628000,97.1616720682494
"32","West",2011,3664447,9419000,87.9669249242956
"33","West",2012,3798575,9710000,87.5210745767041
"34","West",2013,4503674,11007000,83.8561367481516
"35","West",2014,4658632,13189000,95.5910341495163
"36","West",2015,5578850,15185000,92.5276381788541
"37","West",2016,5958097,16490000,93.8333703743351
"38","West",2017,5615668,16820000,99.8796380834304
"39","West",2018,7904106,19454000,84.434894725534
"40","West",2019,9360375,19866000,71.8913994636694
